ptero_taxa;family;suborder;;best;replace;NO GOES;suggestions;;early K;
Huanhepterus_quingyangensis;Lophocratia;Pterodactyloidea;;;;;;;;
Huaxiapterus_benxiensis;Tapejaridae;;;;;;;;;
Huaxiapterus_jii;Tapejaridae;;;;;;;;;
Istiodactylus_latidens;Ornithocheiroidea;Pteranodontia;;;;;;;;
Istiodactylus_sinensis;Ornithocheiroidea;Pteranodontia;;;;;;;;
Jeholopterus_ningchengensis;Anurognathidae;;;;;;;;;
Jidapterus_edentus;Tapejaridae;;;;;;;;;
Kepodactylus_insperatus;Lophocratia;Pterodactyloidea;;;;;;;;
Kryptodrakon_progenitor;Pterodactyloidea;Pterosauria;;;;;;;;
Kunpengopterus_sinensis;Wukongopteridae;;;;;;;;;
Lacusovagus_magnificens;Chaoyangopteridae;Azhdarchoidea;;;;;;;;
Liaodactylus_primus;Ctenochasmatidae;;;;;;;;;
Liaoningopterus_gui;Ornithocheiroidea;Pteranodontia;;;;;;;;
Liaoxipterus_brachyognathus;Istiodactylidae;Ornithocheiroidea;;;;;;;;
Lonchodectes_compressirostris;Ornithocheiroidea;Pteranodontia;;;;;;;;
Lonchodraco_giganteus;Lonchodraconidae;;;;;;;;;
Longchengpterus_zhaoi;Ornithocheiroidea;Pteranodontia;;;;;;;;
Ludodactylus_sibbicki;Ornithocheiroidea;Pteranodontia;;;;;;;;
Microtuban_altivolans;Azhdarchoidea;Pterodactyloidea;;;;;;;;
Moganopterus_zhuiana;Boreopteridae;;;;;;;;;
Montanazhdarcho_minor;Azhdarchoidea;;;;;;;;;
Muzquizopteryx_coahuilensis;Nyctosauridae;;;;;;;;;
Nemicolopterus_crypticus;Azhdarchoidea;Pterodactyloidea;;;;;;;;
Nesodactylus_hesperius;Rhamphorhynchidae;;;;;;;;;
Noripterus_complicidens;Dsungaripteridae;;;;;;;;;
Noripterus_parvus;Dsungaripteridae;;;;;;;;;
Normannognathus_wellnhoferi;Lophocratia;Pterodactyloidea;;;;;;;;
Nurhachius_ignaciobritoi;Ornithocheiroidea;Pteranodontia;;;;;;;;
Nyctosaurus_gracilis;Pterodactyloidea;Pterosauria;;;;;;;;
Nyctosaurus_lamegoi;Pterodactyloidea;Pterosauria;;;;;;;;
Nyctosaurus_nanus;Pterodactyloidea;Pterosauria;;;;;;;;
Orientognathus_chaoyangensis;Rhamphorhynchidae;;;;;;;;;
Ornithocheirus_simus;Ornithocheiroidea;Pteranodontia;;;;;;;;
Ornithostoma_sedgwicki;Azhdarchoidea;Pterodactyloidea;;;;;;;;
Parapsicephalus_purdoni;Macronychoptera;Pterosauria;;;;;;;;
Phosphatodraco_mauritanicus;Azhdarchoidea;;;;;;;;;
Piksi_barbarulna;Ornithocheiroidea;Pteranodontia;;;;;;;;
Plataleorhynchus_streptophorodon;Lophocratia;Pterodactyloidea;;;;;;;;
Preondactylus_buffarinii;Pterosauria;;;;;;;;;
