accepted_name,FAD,LAD
Ningchengopterus liuae,125.77,119.5
Noripterus complicidens,139.8,100.5
Noripterus parvus,139.8,121.4
Normannognathus wellnhoferi,152.2,149.2
Nurhachius ignaciobritoi,121.4,113
Nurhachius luei,121.4,113
Nyctosaurus bonneri,86.3,83.6
Nyctosaurus gracilis,89.8,83.6
Nyctosaurus lamegoi,72.1,66
Nyctosaurus nanus,89.8,83.6
Orientognathus chaoyangensis,145,139.8
Ornithocheirus simus,106.2,93.9
Ornithocheirus wiedenrothi,132.6,125.77
Ornithodesmus cluniculus,125.77,121.4
Ornithostoma sedgwicki,106.2,100.5
Osteornis diomedeus,106.2,100.5
Parapsicephalus purdoni,184.2,182.9
Peteinosaurus zambelli,216.7,213.2
Petrodactyle wellnhoferi,149.2,146.3
Phosphatodraco mauritanicus,72.1,66
Piksi barbarulna,83.6,72.1
Plataleorhynchus streptophorodon,145,139.8
Prejanopterus curvirostris,121.4,119.5
Preondactylus buffarinii,216.7,208.5
Ptenodracon brevirostris,154.8,149.2
Pteraichnus dongyangensis,100.5,93.9
Pteraichnus koreanensis,119.5,109.9
Pteraichnus longipodus,145,139.8
Pteraichnus nipponensis,121.4,113
Pteraichnus parvus,145,139.8
Pteraichnus saltwashensis,165.3,121.4
Pteraichnus stokesi,165.3,154.8
Pteraichnus yanguoxiaensis,125.77,113
Pteranodon longiceps,86.3,72.1
Pteranodon sternbergi,89.8,83.6
Pterodactylus antiquus,149.2,146.3
Pterodactylus cirinensis,154.8,149.2
Pterodactylus kochi,149.2,146.3
Pterodactylus micronyx,149.2,146.3
Pterodactylus spectabilis,149.2,146.3
Pterodaustro guinazui,121.4,100.5
Pterofiltrus qiui,125.77,119.5
Pterorhynchus wellnhoferi,165.3,161.5
Purbeckopus pentadactylus,140.6,139.8
Qinglongopterus guoi,168.2,152.2
Quetzalcoatlus lawsoni,72.1,66
Quetzalcoatlus northropi,72.1,66
Radiodactylus langstoni,113,109.9
Raeticodactylus filisurensis,213.2,201.4
Rhamphinion jenkinsi,199.5,184.2
Rhamphocephalus bucklandi,168.2,154.8
Rhamphocephalus depressirostris,168.2,165.3
Rhamphorhynchus etchesi,149.2,145
Rhamphorhynchus muensteri,152.2,146.3
Samrukia nessovi,86.3,72.1
Santanadactylus brasilensis,119.5,113
Santanadactylus spixi,119.5,113
Saraikisaurus minhui,72.1,66
Scaphognathus crassirostris,149.2,145
Scaphognathus robustus,168.2,152.2
Scleromochlus taylori,237,208.5
Seazzadactylus venieri,227,208.5
Sericipterus wucaiwanensis,161.5,154.8
Serradraco sagittirostris,140.6,132.6
Shenzhoupterus chaoyangensis,121.4,113
Simurghia robusta,72.1,66
Sinomacrops bondei,165.3,154.8
Sinopterus dongi,121.4,113
Sinopterus gui,121.4,113
Sordes pilosus,161.5,154.8
Tacuadactylus luciae,154.8,145
Tapejara wellnhoferi,119.5,113
Tendaguripterus recki,152.2,149.2
Tethydraco regalis,72.1,66
Thalassodromeus sethi,119.5,113
Thanatosdrakon amaru,89.8,83.6
Thapunngaka shawi,113,100.5
Tropeognathus mesembrinus,119.5,113
Tupandactylus imperator,119.5,113
Tupandactylus navigans,119.5,113
Tupuxuara deliradamus,119.5,113
Tupuxuara leonardii,119.5,113
Tupuxuara longicristatus,119.5,113
Uktenadactylus rodriguesae,125.77,121.4
Uktenadactylus wadleighi,106.2,100.5
Unwindia trigonus,119.5,113
Vectidraco daisymorrisae,125.77,119.5
Venetoraptor gassenae,237,227
Vesperopterylus lamadongensis,121.4,113
Volgadraco bogolubovi,83.6,72.1
Wellnhopterus brevirostris,72.1,66
Wenupteryx uzi,149.2,145
Wightia declivirostris,125.77,121.4
Wukongopterus lii,168.2,152.2
Xericeps curvirostris,100.5,93.9
Yelaphomte praderioi,227,208.5
Yixianopterus jingangshanensis,125.77,119.5
Zhejiangopterus linhaiensis,83.6,72.1
Zhenyuanopterus longirostris,125.77,119.5
