ptero_taxa;family
Rhamphinion_jenkinsi;NO_FAMILY_SPECIFIED
Rhamphorhynchus_muensteri;Rhamphorhynchidae
Scaphognathus_crassirostris;Rhamphorhynchidae
Scleromochlus_taylori;Lagerpetidae
Sericipterus_wucaiwanensis;Rhamphorhynchidae
Shenzhoupterus_chaoyangensis;Chaoyangopteridae
Simurghia_robusta;NO_FAMILY_SPECIFIED
Sinopterus_dongi;Tapejaridae
Sinopterus_gui;Tapejaridae
Sordes_pilosus;Rhamphorhynchidae
Tapejara_wellnhoferi;Tapejaridae
Tethydraco_regalis;Pteranodontidae
Thalassodromeus_sethi;Thalassodromidae
Tropeognathus_mesembrinus;Anhangueridae
Tupandactylus_imperator;Tapejaridae
Tupandactylus_navigans;Tapejaridae
Tupuxuara_leonardii;Thalassodromidae
Tupuxuara_longicristatus;Thalassodromidae
Vectidraco_daisymorrisae;NO_FAMILY_SPECIFIED
Volgadraco_bogolubovi;Pteranodontidae
Wukongopterus_lii;NO_FAMILY_SPECIFIED
Zhejiangopterus_linhaiensis;Azhdarchidae
