species	Log_M	Log_W	Log_FA	Log_Warea	Log_Vmp	Log_min_power	Log_min_power_chem	Log_avail_pow	Log_min_CoT	Log_inv_CoT	Log_Vbg	Log_min_Vz	Log_min_turn_r	LAD	FAD	In_A_Clade	No_Birds
Huaxiapterus_benxiensis	0.100493569	0.176091259	-1.757889058	-0.636447244	0.998863761	1.021484166	1.736110546	2.01649918	0.527265176	-0.527265175	1.012937116	-0.233999285	0.678371599	118	118	1	0
Huaxiapterus_corallatus	0.012837225	0.155336037	-1.800046959	-0.679853714	0.976264809	0.908951983	1.627904396	1.939449261	0.528786392	-0.528786352	0.991226076	-0.257796099	0.63415773	118	118	1	0
Istiodactylus_latidens	1.339173692	0.633468456	-1.050173502	0.149028785	1.193146215	2.337341338	3.027838242	3.105299004	0.400081636	-0.400081635	1.205036148	-0.1138999	1.115697169	119.5	128.5	0	0
Jeholopterus_ningchengensis	-0.345314558	-0.045757491	-2.559090918	-1.021884164	0.983243301	0.617677449	1.343744293	1.624633833	0.588726041	-0.588726041	0.997938762	-0.214547406	0.643421367	154.5	165	0	1
Jidapterus_edentus	0.294654913	0.204119983	-1.668198686	-0.553274211	1.061136813	1.306127739	2.010894735	2.187167	0.544587903	-0.544587902	1.075355348	-0.155151265	0.803585514	118	118	1	0
Kepodactylus_insperatus	0.545255391	0.301029996	-1.581690106	-0.357489494	1.089035865	1.585620818	2.283998362	2.407444824	0.540437212	-0.540437213	1.103412772	-0.126243475	0.85789581	148.5	154.5	0	1
Liaoningopterus_gui	1.387403432	0.698970004	-1.063876702	0.196634332	1.172608927	2.290587836	2.982627001	3.147692946	0.331895521	-0.331895521	1.183014217	-0.181846	1.108703241	118	118	0	0
Lonchodectes_compressirostris	0.420992832	0.301029996	-1.781841446	-0.562425548	1.078138596	1.264043974	1.977108525	2.298218027	0.380966698	-0.380966697	1.089093861	-0.255007511	0.898727604	91.85	106.5	0	0
Ludodactylus_sibbicki	1.183334693	0.602059991	-1.190749266	0.049168583	1.155895997	2.111021883	2.805039368	2.968316526	0.372173333	-0.372173329	1.167123103	-0.172303064	1.052834532	119.5	119.5	0	0
Moganopterus_zhuiana	1.966960914	0.84509804	-0.508241268	0.678832201	1.268774186	3.139853747	3.823842957	3.657123974	0.493115542	-0.493115542	1.282226561	0.023645422	1.237916513	119.5	128.5	0	0
Montanazhdarcho_minor	0.808914572	0.397940009	-1.217806488	-0.150680075	1.12070809	1.8960894	2.589877644	2.639201236	0.550358786	-0.550358784	1.13494334	-0.08624378	0.92455018	77.85	77.85	1	0
Muzquizopteryx_coahuilensis	0.391732968	0.301029996	-1.890134519	-0.707022417	1.099657883	1.133832257	1.854544985	2.272498609	0.273348654	-0.273348655	1.107771224	-0.311141394	1.012128022	88.05	88.05	0	0
Nesodactylus_hesperius	-0.022491157	0.130333768	-1.446862224	-0.770352171	0.993726375	0.854191882	1.577447559	1.9083956	0.498388084	-0.498388086	1.007156834	-0.264189612	0.67458565	160.5	160.5	0	1
Noripterus_complicidens	0.308882946	0.184691431	-1.692611917	-0.621821482	1.09510192	1.325565597	2.029809396	2.199673434	0.517991694	-0.517991695	1.108970017	-0.138874874	0.87661421	122.5	122.5	1	0
Noripterus_parvus	1.316637431	0.582063363	-0.94524682	0.133754392	1.211399234	2.411299169	3.099508893	3.085489634	0.470055516	-0.470055518	1.224824431	-0.046013893	1.116004291	136.5	142	1	0
