early_interval,stage
Toarcian,Toarcian
Pliensbachian,Pliensbachian
Sinemurian,Sinemurian
Hettangian,Hettangian
Rhaetian,Rhaetian
Norian,Norian
Carnian,Carnian
Alaunian,Norian
Angulata,Hettangian
Early Hettangian,Hettangian
Early Pliensbachian,Pliensbachian
Early Sinemurian,Sinemurian
Julian,Carnian
Lacian,Norian
Late Hettangian,Hettangian
Late Sinemurian,Sinemurian
Late Toarcian,Toarcian
Middle Toarcian,Toarcian
Sevatian,Norian
Tenuicostatum,Toarcian
Thouarsense,Toarcian
Tuvalian,Carnian
