early_interval,stage
Carnian,Carnian
Julian,Carnian
Tuvalian,Carnian
Hettangian,Hettangian
Angulata,Hettangian
Early Hettangian,Hettangian
Late Hettangian,Hettangian
Norian,Norian
Alaunian,Norian
Lacian,Norian
Sevatian,Norian
Pliensbachian,Pliensbachian
Early Pliensbachian,Pliensbachian
Rhaetian,Rhaetian
Sinemurian,Sinemurian
Early Sinemurian,Sinemurian
Late Sinemurian,Sinemurian
Toarcian,Toarcian
Late Toarcian,Toarcian
Middle Toarcian,Toarcian
Tenuicostatum,Toarcian
Thouarsense,Toarcian
