collection_no,occurrence_no,accepted_name,early_interval,late_interval,max_ma,min_ma,plng,plat,MAT,seasonal_temp,MAP,seasonal_precip
37597,391692,Pterosauria,Callovian,NA,165.3,161.5,76.1851761702875,40.7731701191392,22.001255289713548,40.645477294921825,2.0564208095189926e-5,3.628850345194223e-5
22689,392717,Azhdarchidae,Campanian,NA,83.6,72.1,-79.0830593387065,56.3681676838427,9.090089416503933,25.9084777832031,4.0118844784349975e-5,1.59657756739761e-5
22689,392719,Pterosauria,Campanian,NA,83.6,72.1,-79.0830593387065,56.3681676838427,9.090089416503933,25.9084777832031,4.0118844784349975e-5,1.59657756739761e-5
38542,401733,Pterosauria,Early Albian,NA,113,109.9,124.780057408997,-70.9788142128482,-1.8402008056640347,44.8161010742187,2.1008204763954076e-5,3.658448986243457e-5
39075,405993,Rhamphorhynchoidea,Late Bathonian,NA,168.2,165.3,8.90181800305044,41.351544676575,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
39075,405994,Pterosauria,Late Bathonian,NA,168.2,165.3,8.90181800305044,41.351544676575,19.518329874674496,31.521850585937447,2.763515931292205e-5,1.0340430890209997e-5
39344,408757,Pterodactyloidea,Kimmeridgian,Tithonian,154.8,145,-53.6697340666387,38.017143319639104,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
12816,408782,Pterosauria,Kimmeridgian,Tithonian,154.8,145,-53.5951149866355,38.0206512581772,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
45726,463326,Pterosauria,Late Tithonian,Early Berriasian,146.3,142.7,1.40243969346477,25.4738055861725,28.34698638916017,17.994079589843697,1.0861447255668577e-5,2.265995988182111e-5
45726,463327,Pterosauria,Late Tithonian,Early Berriasian,146.3,142.7,1.40243969346477,25.4738055861725,28.34698638916017,17.994079589843697,1.0861447255668577e-5,2.265995988182111e-5
14585,464160,Pterosauria,Late Maastrichtian,NA,72.1,66,-78.3955350656447,49.9708598363196,17.81156056722007,41.55975341796875,1.2839512010032208e-5,1.238990671481591e-5
45975,465129,Dsungaripteroidea,Late Kimmeridgian,Early Tithonian,152.2,146.3,-61.2332688509011,35.2001929736518,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
45975,465131,Mesadactylus ornithosphyos,Late Kimmeridgian,Early Tithonian,152.2,146.3,-61.2332688509011,35.2001929736518,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
45975,465142,Pterodactyloidea,Late Kimmeridgian,Early Tithonian,152.2,146.3,-61.2332688509011,35.2001929736518,18.464095052083344,29.0371398925781,6.791933647794701e-6,6.92038133820461e-6
46118,465715,Rhamphorhynchidae,Hettangian,Sinemurian,201.4,192.9,2.73586651795843,39.0988299615043,25.076893107096375,43.321624755859354,4.6324568074851405e-6,3.22808523378626e-6
46389,467298,Pterosauria,Toarcian,Aalenian,184.2,170.9,31.5514934043585,-31.9747213240575,30.9330052693685,38.9779663085937,1.338955136039506e-5,4.181982973250343e-5
46565,468640,Pteranodon,Early Campanian,NA,83.6,72.1,-43.7062352763423,38.5178232919159,22.61346079508466,23.511016845703097,4.131633249926381e-5,2.8380076400935704e-5
46905,472013,Pterosauria,Valanginian,Albian,139.8,100.5,110.979887585586,41.092313257474,17.545683797200528,35.42556762695315,3.196494056586138e-5,5.024867641623129e-5
46934,472315,Pterosauria,Valanginian,Albian,139.8,100.5,109.339337748862,41.0612915355889,18.437801615397152,37.36602783203128,1.8436142530238918e-5,2.3889520889497376e-5
38135,474467,Rhamphorhynchoidea,Callovian,Oxfordian,165.3,154.8,90.1826065179445,44.9126064178479,16.52468261718752,44.94805908203125,1.0686625690444393e-5,1.771002052919357e-5
47135,475136,Dimorphodontidae,Sinemurian,Pliensbachian,199.5,184.2,34.6527519123303,-57.4958282970293,0.5947077433268508,37.5675659179688,2.449192519785962e-5,3.564740609363069e-5
48161,481977,Kepodactylus insperatus,Tithonian,NA,149.2,145,-54.2217779534038,35.0400023218241,25.679081217447937,33.79397583007815,3.896658938629117e-6,6.13768065704789e-6
48720,486483,Pterodactyloidea,Early Campanian,NA,83.6,72.1,15.9189465043979,33.053983417311,26.01312662760417,7.9049987792969,4.259880051904475e-5,2.98803806799697e-5
28457,487222,Pterosauria,Late Maastrichtian,NA,72.1,66,2.12046763509939,35.4854012007837,24.052082316080742,26.7952270507812,2.861359068144035e-5,3.06673700833926e-5
48850,487224,Pterosauria,Early Maastrichtian,NA,72.1,66,1.58815794145418,35.3733338847929,23.415813700358093,24.561737060546797,2.8709800441599025e-5,4.20931273765745e-5
48866,487230,Azhdarchidae,Late Maastrichtian,NA,72.1,66,0.703754646545497,35.5854450084724,23.415813700358093,24.561737060546797,2.8709800441599025e-5,4.20931273765745e-5
49047,487794,Dsungaripterus weii,Late Aptian,Albian,119.5,100.5,82.5556991102524,44.2325248595747,16.043840026855477,43.227752685546854,1.868658734830812e-5,3.318225321891075e-5
49047,487795,Noripterus complicidens,Late Aptian,Albian,119.5,100.5,82.5556991102524,44.2325248595747,16.043840026855477,43.227752685546854,1.868658734830812e-5,3.318225321891075e-5
46931,489733,Pterosauria,Valanginian,Early Hauterivian,139.8,125.77,110.014331193153,39.5504158817997,21.198526000976578,53.25347900390628,3.7578645191160827e-6,7.923630221284837e-6
49415,489978,Azhdarchoidea,Late Turonian,Early Coniacian,93.9,86.3,-47.4448422018808,-44.5190829914917,17.86581064860027,20.60772705078125,4.7914141305227545e-5,3.80679866793798e-5
49577,491150,Harpactognathus gentryii,Late Kimmeridgian,Early Tithonian,152.2,146.3,-53.8455562081925,38.1336726710285,25.621308898925786,35.128143310546875,2.3501335325211885e-6,1.80786639703001e-6
49817,493231,Noripterus complicidens,Late Aptian,Albian,119.5,100.5,82.4182692346693,44.2645230207608,16.043840026855477,43.227752685546854,1.868658734830812e-5,3.318225321891075e-5
49818,493236,Noripterus complicidens,Late Aptian,Albian,119.5,100.5,82.4182692346693,44.2645230207608,16.043840026855477,43.227752685546854,1.868658734830812e-5,3.318225321891075e-5
49819,493240,Noripterus complicidens,Late Aptian,Albian,119.5,100.5,82.4182692346693,44.2645230207608,16.043840026855477,43.227752685546854,1.868658734830812e-5,3.318225321891075e-5
49819,493241,Dsungaripterus weii,Late Aptian,Albian,119.5,100.5,82.4182692346693,44.2645230207608,16.043840026855477,43.227752685546854,1.868658734830812e-5,3.318225321891075e-5
49820,493253,Pterosauria,Tithonian,NA,149.2,145,17.2867279100606,-30.3066001290438,28.67933298746747,31.2044677734375,6.9974228106654304e-06,1.9948851047502073e-5
50357,498283,Pterosauria,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
50357,498284,Pterosauria,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
50357,498285,Pterosauria,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
50357,498288,Pterosauria,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
50359,498306,Pterosauria,Barremian,NA,125.77,121.4,138.055454930996,46.1116137485962,17.049826558431,15.754211425781302,4.2925764015914566e-5,3.4913828130811405e-5
10761,498846,Pterodactyloidea,Late Barremian,Early Aptian,125.77,119.5,122.041001450753,43.9216893261999,15.01529337565106,46.536041259765604,2.7562593155986793e-5,2.62482844846091e-5
14462,501494,Azhdarchidae,Middle Campanian,Late Campanian,83.6,72.1,-73.8328675657292,53.1821597299847,11.592202758789078,23.892486572265582,2.959122609051216e-5,3.1293600841309e-5
14437,501508,Pterosauria,Middle Campanian,NA,83.6,72.1,-73.9579332143458,53.2033467644477,11.592202758789078,23.892486572265582,2.959122609051216e-5,3.1293600841309e-5
47803,504257,Eudimorphodon,Norian,NA,227,208.5,10.9151412476344,29.8201049643266,28.282428995768225,26.5119018554687,1.2023909221170468e-5,1.712126186248495e-5
47803,504258,Pterosauria,Norian,NA,227,208.5,10.9151412476344,29.8201049643266,28.282428995768225,26.5119018554687,1.2023909221170468e-5,1.712126186248495e-5
